Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
382.00,4.67,0.33,44.2,75.0
385.00,6.37,0.52,20.8,127.0
386.00,3.73,1.14,20.4,78.0
386.20,11.80,1.50,67.4,67.0
387.00,8.95,0.68,21.4,150.0
388.00,3.38,-0.15,8.8,74.0
389.00,5.40,1.32,5.8,159.0
390.00,3.41,0.49,53.5,101.0
391.00,3.88,-0.04,25.6,55.0
391.10,7.43,0.64,23.9,67.0
392.00,8.92,1.41,84.3,100.0
393.00,4.62,0.94,6.4,88.0
394.00,2.64,0.13,67.1,78.0
395.00,4.41,1.59,11.2,106.0
396.00,6.01,0.56,31.2,56.0
397.00,9.31,0.53,2.3,84.0
398.00,11.45,1.33,26.9,150.0
399.00,9.28,0.65,15.6,150.0
400.01,14.99,1.61,35.4,34.0
402.02,14.85,1.44,14.8,33.0
405.00,3.70,0.85,55.9,106.0
406.00,6.41,0.82,45.4,112.0
407.00,4.79,0.28,26.3,102.0
410.00,4.83,0.88,20.1,149.0
411.00,6.10,0.48,52.8,101.0
411.10,8.60,1.16,54.4,150.0
412.00,4.54,0.16,28.3,40.0
412.01,11.03,1.54,78.4,106.0
412.02,12.26,1.82,224.8,29.0
412.04,7.50,1.60,1.1,52.0
412.05,3.98,-0.01,35.1,141.0
413.00,5.88,0.62,36.0,58.0
413.10,5.38,0.31,27.1,111.0
414.00,4.00,1.57,6.2,127.0
415.00,5.57,1.06,16.2,127.0
415.10,2.86,0.28,39.4,97.0
415.20,11.57,0.73,11.3,237.0
416.00,5.22,0.95,21.1,107.0
417.00,7.36,0.66,37.6,97.0
418.00,5.35,0.88,15.1,117.0
419.10,10.62,1.19,42.2,139.0
420.00,4.18,0.03,4.0,173.0
420.01,15.61,2.02,112.0,32.0
421.00,5.50,0.03,8.8,72.0
422.00,12.24,1.45,33.7,42.0
424.00,2.26,1.37,8.3,52.0
425.00,5.63,0.54,24.1,154.0
425.01,11.21,1.46,33.9,226.0
427.00,9.53,0.91,19.9,178.0
428.00,8.70,0.72,20.0,150.0
430.00,7.31,0.69,49.3,150.0
431.00,10.19,1.51,113.8,85.0
431.01,17.36,-0.06,9.9,44.0
432.00,6.55,0.53,22.4,120.0
433.00,10.28,1.49,53.5,52.0
433.10,11.39,1.40,51.8,134.0
434.00,8.55,0.88,15.4,57.0
436.00,2.00,1.15,50.8,22.0
437.01,11.60,0.80,3.5,51.0
437.10,4.82,0.12,4.3,111.0
438.00,6.91,0.61,39.6,86.0
438.01,13.23,-0.04,30.0,25.0
439.00,3.00,0.14,17.3,82.0
440.00,13.74,1.48,45.0,228.0
440.11,11.82,1.54,55.6,119.0
441.00,11.55,1.50,64.6,178.0
442.01,15.11,1.70,32.1,33.0
442.02,14.51,0.31,59.8,35.0
443.00,7.02,0.62,20.7,98.0
444.00,5.63,0.56,33.7,98.0
444.01,7.06,1.02,17.7,150.0
445.00,6.12,0.82,89.8,106.0
447.00,4.94,0.78,2.3,98.0
449.00,5.31,0.93,10.5,42.0
450.00,10.03,1.43,95.7,25.0
452.00,7.09,0.90,44.5,78.0
452.01,12.74,1.17,53.8,101.0
